ARI,Method,Dataset
0.7918874,Individual,Biase
0.9675963,Individual,Biase
0.829308,Individual,Biase
0.7918874,Individual,Biase
0.9126029,Individual,Biase
0.829308,Individual,Biase
0.8509311,Individual,Biase
0.7918874,Individual,Biase
0.8509311,Individual,Biase
0.9241044,Individual,Biase
0.8509311,Individual,Biase
0.9675963,Individual,Biase
0.9241044,Individual,Biase
0.829308,Individual,Biase
0.8509311,Individual,Biase
0.8509311,Individual,Biase
0.7918874,Individual,Biase
0.7918874,Individual,Biase
0.9675963,Individual,Biase
0.9241044,Individual,Biase
0.9126029,Individual,Biase
0.829308,Individual,Biase
0.8509311,Individual,Biase
0.829308,Individual,Biase
0.9126029,Individual,Biase
0.829308,Individual,Biase
0.8509311,Individual,Biase
0.9126029,Individual,Biase
0.829308,Individual,Biase
0.9241044,Individual,Biase
0.829308,Individual,Biase
0.9241044,Individual,Biase
0.9675963,Individual,Biase
0.7918874,Individual,Biase
0.9241044,Individual,Biase
0.9126029,Individual,Biase
0.829308,Individual,Biase
0.7918874,Individual,Biase
0.7918874,Individual,Biase
0.9675963,Individual,Biase
0.8509311,Individual,Biase
0.9241044,Individual,Biase
0.7918874,Individual,Biase
0.9126029,Individual,Biase
0.9126029,Individual,Biase
0.9126029,Individual,Biase
0.9126029,Individual,Biase
0.7918874,Individual,Biase
0.9241044,Individual,Biase
0.9675963,Individual,Biase
0.9675963,Individual,Biase
0.7918874,Individual,Biase
0.9675963,Individual,Biase
0.9675963,Individual,Biase
0.9675963,Individual,Biase
0.8509311,Individual,Biase
0.9241044,Individual,Biase
0.7918874,Individual,Biase
0.829308,Individual,Biase
0.8509311,Individual,Biase
0.8509311,Individual,Biase
0.9241044,Individual,Biase
0.9241044,Individual,Biase
0.829308,Individual,Biase
0.9675963,Individual,Biase
0.829308,Individual,Biase
0.9126029,Individual,Biase
0.8509311,Individual,Biase
0.8509311,Individual,Biase
0.7918874,Individual,Biase
0.9241044,Individual,Biase
0.7918874,Individual,Biase
0.9675963,Individual,Biase
0.9241044,Individual,Biase
0.829308,Individual,Biase
0.7918874,Individual,Biase
0.9126029,Individual,Biase
0.8509311,Individual,Biase
0.9675963,Individual,Biase
0.8509311,Individual,Biase
0.9675963,Individual,Biase
0.8509311,Individual,Biase
0.9675963,Individual,Biase
0.829308,Individual,Biase
0.9126029,Individual,Biase
0.8509311,Individual,Biase
0.8509311,Individual,Biase
0.829308,Individual,Biase
0.9241044,Individual,Biase
