ARI,Dataset,Fraction
0.4801501,Deng,10
0.4982701,Deng,10
0.4602361,Deng,10
0.4526909,Deng,10
0.4447685,Deng,10
0.4992903,Deng,10
0.5475053,Deng,10
0.5558702,Deng,10
0.5220323,Deng,10
0.4819191,Deng,10
0.4221998,Deng,10
0.5654771,Deng,10
0.4268105,Deng,10
0.4088616,Deng,10
0.4862194,Deng,10
0.4701066,Deng,10
0.5257732,Deng,10
0.5981726,Deng,10
0.5271567,Deng,10
0.4893797,Deng,10
0.512755,Deng,10
0.4963735,Deng,10
0.5379453,Deng,10
0.4754666,Deng,10
0.4211828,Deng,10
0.6256323,Deng,10
0.4047481,Deng,10
0.422715,Deng,10
0.4369054,Deng,10
0.4445702,Deng,10
0.4559001,Deng,10
0.3635552,Deng,10
0.4018404,Deng,10
0.3826681,Deng,10
0.624003,Deng,10
0.4767848,Deng,10
0.58915,Deng,10
0.5715948,Deng,10
0.4025526,Deng,10
0.5058614,Deng,10
0.4483841,Deng,10
0.4454453,Deng,10
0.5030395,Deng,10
0.4633141,Deng,10
0.5466228,Deng,10
0.4198598,Deng,10
0.4394154,Deng,10
0.5819245,Deng,10
0.5758091,Deng,10
0.4424576,Deng,10
0.4060206,Deng,10
0.4459326,Deng,10
0.472236,Deng,10
0.4511739,Deng,10
0.5515331,Deng,10
0.513627,Deng,10
0.4496492,Deng,10
0.4657743,Deng,10
0.4692691,Deng,10
0.4335591,Deng,10
0.6439336,Deng,10
0.4667263,Deng,10
0.501022,Deng,10
0.5762647,Deng,10
0.5073492,Deng,10
0.6726816,Deng,10
0.4775425,Deng,10
0.4644392,Deng,10
0.5695927,Deng,10
0.5220023,Deng,10
0.60631,Deng,10
0.4952495,Deng,10
0.5189254,Deng,10
0.4031733,Deng,10
0.4465471,Deng,10
0.4879382,Deng,10
0.4750455,Deng,10
0.4717354,Deng,10
0.5331996,Deng,10
0.4856099,Deng,10
0.5391533,Deng,10
0.5678594,Deng,10
0.4889205,Deng,10
0.4888618,Deng,10
0.4256143,Deng,10
0.4741539,Deng,10
0.4939483,Deng,10
0.5103307,Deng,10
0.4215063,Deng,10
0.4679091,Deng,10
0.5206043,Deng,10
0.5392946,Deng,10
0.3948313,Deng,10
0.5243962,Deng,10
0.5077119,Deng,10
0.3862863,Deng,10
0.5680511,Deng,10
0.5429159,Deng,10
0.5835639,Deng,10
0.2190873,Deng,10
0.5856898,Deng,20
0.6062664,Deng,20
0.7277668,Deng,20
0.4856881,Deng,20
0.5041364,Deng,20
0.7505506,Deng,20
0.6446784,Deng,20
0.5982363,Deng,20
0.7783662,Deng,20
0.5476874,Deng,20
0.585651,Deng,20
0.5391113,Deng,20
0.7735321,Deng,20
0.6558674,Deng,20
0.4798823,Deng,20
0.6451468,Deng,20
0.6558483,Deng,20
0.6779559,Deng,20
0.7110973,Deng,20
0.5401153,Deng,20
0.7648473,Deng,20
0.5936574,Deng,20
0.6447574,Deng,20
0.5034882,Deng,20
0.5427928,Deng,20
0.6573069,Deng,20
0.5005239,Deng,20
0.5817728,Deng,20
0.6677407,Deng,20
0.6325198,Deng,20
0.5978674,Deng,20
0.4005841,Deng,20
0.7146213,Deng,20
0.6697138,Deng,20
0.6058603,Deng,20
0.5907395,Deng,20
0.612736,Deng,20
0.530693,Deng,20
0.6815288,Deng,20
0.7456072,Deng,20
0.6268113,Deng,20
0.5402564,Deng,20
0.6722378,Deng,20
0.60008,Deng,20
0.7090008,Deng,20
0.4164213,Deng,20
0.5910555,Deng,20
0.6953628,Deng,20
0.5380924,Deng,20
0.710831,Deng,20
0.593202,Deng,20
0.8541955,Deng,20
0.7094156,Deng,20
0.6401169,Deng,20
0.6614166,Deng,20
0.6632469,Deng,20
0.5939353,Deng,20
0.5954264,Deng,20
0.5420682,Deng,20
0.7310521,Deng,20
0.6612358,Deng,20
0.5766124,Deng,20
0.5655184,Deng,20
0.6181818,Deng,20
0.7952011,Deng,20
0.6261541,Deng,20
0.5689164,Deng,20
