ARI,Dataset,Fraction
0.3748045,Deng,10
0.3846322,Deng,10
0.3888751,Deng,10
0.3843129,Deng,10
0.3702501,Deng,10
0.3117457,Deng,10
0.3404412,Deng,10
0.3521433,Deng,10
0.3448192,Deng,10
0.3801434,Deng,10
0.328368,Deng,10
0.3643145,Deng,10
0.3815757,Deng,10
0.3498129,Deng,10
0.3639579,Deng,10
0.3030313,Deng,10
0.3550786,Deng,10
0.4346468,Deng,10
0.2807411,Deng,10
0.3184054,Deng,10
0.3473542,Deng,10
0.3485744,Deng,10
0.39758,Deng,10
0.3452482,Deng,10
0.4191883,Deng,10
0.3206378,Deng,10
0.3504117,Deng,10
0.3031582,Deng,10
0.3160786,Deng,10
0.3746783,Deng,10
0.3934074,Deng,10
0.3681823,Deng,10
0.3202023,Deng,10
0.4181793,Deng,10
0.3541375,Deng,10
0.3599953,Deng,10
0.4077109,Deng,10
0.3603619,Deng,10
0.4318769,Deng,10
0.3826125,Deng,10
0.3737573,Deng,10
0.4155618,Deng,10
0.3296785,Deng,10
0.3001426,Deng,10
0.343173,Deng,10
0.367951,Deng,10
0.4323623,Deng,10
0.3973137,Deng,10
0.3554674,Deng,10
0.3808461,Deng,10
0.3350527,Deng,10
0.4053938,Deng,10
0.4160014,Deng,10
0.4465748,Deng,10
0.3403093,Deng,10
0.3361661,Deng,10
0.3595937,Deng,10
0.3447695,Deng,10
0.4252707,Deng,10
0.362058,Deng,10
0.384581,Deng,10
0.3950021,Deng,10
0.3505255,Deng,10
0.3854997,Deng,10
0.419102,Deng,10
0.4127891,Deng,10
0.3594569,Deng,10
0.3995009,Deng,10
0.388292,Deng,10
0.3426066,Deng,10
0.4467934,Deng,10
0.301711,Deng,10
0.466936,Deng,10
0.3465527,Deng,10
0.3427681,Deng,10
0.3698219,Deng,10
0.3628515,Deng,10
0.4249387,Deng,10
0.3717925,Deng,10
0.4337043,Deng,10
0.3550236,Deng,10
0.4224903,Deng,10
0.3889856,Deng,10
0.3753428,Deng,10
0.3104117,Deng,10
0.4181948,Deng,10
0.3960085,Deng,10
0.4462237,Deng,10
0.2993481,Deng,10
0.3239575,Deng,10
0.4418514,Deng,10
0.369104,Deng,10
0.3732916,Deng,10
0.4445992,Deng,10
0.3759121,Deng,10
0.3413259,Deng,10
0.42225,Deng,10
0.2765877,Deng,10
0.4268212,Deng,10
0.2927112,Deng,10
0.3556549,Deng,20
0.3846076,Deng,20
0.4295458,Deng,20
0.4168125,Deng,20
0.3647415,Deng,20
0.4093696,Deng,20
0.372641,Deng,20
0.3793373,Deng,20
0.4050189,Deng,20
0.3731913,Deng,20
0.451452,Deng,20
0.362375,Deng,20
0.3325347,Deng,20
0.3667377,Deng,20
0.4416983,Deng,20
0.4062751,Deng,20
0.3400567,Deng,20
