Genotype,CoV
WT,3.87298334620742
WT,3.87298334620742
WT,2.76565842400976
WT,2.6503130647873
WT,3.46275198611081
WT,2.68759398978541
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.6692859433582
WT,2.5268587676032
WT,2.23027694785855
WT,3.83425165711502
WT,3.26965945679366
WT,3.87298334620742
WT,3.86042647410665
WT,1.53989703963655
WT,3.65174677889481
WT,1.64002624496333
WT,2.67395048379718
WT,3.87298334620742
WT,3.87298334620742
WT,2.97417155644278
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.24079018801441
WT,1.29382650854719
WT,3.87298334620742
WT,3.1396087108337
WT,3.45416543900011
WT,2.26896220910781
WT,3.78714351214215
WT,3.84189295690177
WT,3.87298334620742
WT,2.63899331455874
WT,3.87298334620742
WT,3.87298334620742
WT,2.83317128040862
WT,3.87298334620742
WT,2.91903992048819
WT,2.65154607279435
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.39332863978643
WT,3.87298334620742
WT,2.07019667802706
WT,3.87298334620742
WT,2.41980394502962
WT,2.23700623433676
WT,2.30943767355451
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.2458765050005
WT,2.69920623252731
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.85127815448202
WT,3.26802692767364
WT,2.26684172993428
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,1.24705334363314
WT,3.33809184158512
WT,2.32631317549502
WT,3.87298334620742
WT,2.7019267501665
WT,3.87298334620742
WT,3.87298334620742
WT,3.56618380743845
WT,3.32628019590818
WT,3.18714407549503
WT,2.41170614516202
WT,2.25397360639484
WT,2.28365812635504
WT,2.92389883197661
WT,2.22087343040311
WT,3.5418417323679
WT,2.56270566344641
WT,2.64478826333374
WT,3.87298334620742
WT,3.87298334620742
WT,3.68854604157606
WT,3.87298334620742
WT,3.87298334620742
WT,2.65523638845582
WT,3.16918471825573
WT,3.44080356706136
WT,3.87298334620742
WT,3.85780920684427
WT,3.87298334620742
WT,0.968467539766154
WT,0.815793888543934
WT,3.87298334620742
WT,3.87298334620742
WT,3.43880747140587
WT,3.82996949004073
WT,3.87298334620742
WT,3.87298334620742
WT,2.07019667802706
WT,3.81872132634247
WT,1.50125221055906
WT,3.87298334620742
WT,3.87298334620742
WT,2.32023922142585
WT,3.81872132634247
WT,3.87298334620742
WT,3.78581526605229
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.8328792308606
WT,3.06320089260479
WT,3.87298334620742
WT,2.59338081915454
WT,3.87298334620742
WT,3.85027253032259
WT,3.70358176055867
WT,3.87298334620742
WT,3.52817447455102
WT,2.24105364250199
WT,3.38281591703006
WT,3.87298334620742
WT,3.00792603759119
WT,3.46585244492866
WT,2.73061682071548
WT,3.58149092690114
WT,1.79507875382749
WT,3.20038369187729
WT,3.87298334620742
WT,3.36710411221676
WT,3.87298334620742
WT,1.7029586393153
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.30219124549933
WT,3.28857970011683
WT,1.98161265895456
WT,3.87298334620742
WT,2.07019667802706
WT,2.71826443608957
WT,3.02923552680241
WT,3.87298334620742
WT,3.86824343709515
WT,3.13519699107869
WT,3.87298334620742
WT,3.87298334620742
WT,3.79186726005028
WT,3.83730455740411
WT,3.87298334620742
WT,2.76178927471479
WT,3.87298334620742
WT,2.06046948273735
WT,2.65291115516954
WT,2.38629532618418
WT,3.53443303837858
WT,2.41394609372029
WT,3.87298334620742
WT,2.21641574441482
WT,3.87298334620742
WT,3.87298334620742
WT,1.90991374117577
WT,3.87298334620742
WT,2.13619698797731
WT,2.94411565347216
WT,1.93649167310371
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.69497271812135
WT,3.87298334620742
WT,3.60751784299882
WT,2.09462573149108
WT,2.16391767000034
WT,3.87298334620742
WT,2.82789664602044
WT,1.95964200633762
WT,3.87298334620742
WT,3.56794485866095
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,2.71313676601662
WT,1.6887523523362
WT,3.60136645255394
WT,3.87298334620742
WT,3.1396087108337
WT,3.77944623981032
WT,3.87298334620742
WT,3.71021755234303
WT,2.67668116919434
WT,2.91633702748675
WT,3.80202153590298
WT,3.38886042793149
WT,3.84030140923222
WT,3.87298334620742
WT,3.37568087430866
WT,2.44948974278318
WT,3.87298334620742
WT,2.83276429860103
WT,3.76228032033862
WT,3.59668325780003
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.87298334620742
WT,3.19662602531023
WT,3.87298334620742
WT,3.87298334620742
WT,2.54205695676328
WT,3.38886042793149
WT,3.87298334620742
WT,3.48675126763186
WT,3.87298334620742
WT,1.95410514387611
WT,2.83430913347457
