Dataset,SVM,cells,mean,se
Kolodziejczyk,No SVM,0.142045454545455,0,0
Kolodziejczyk,No SVM,0.852272727272727,0,0
Kolodziejczyk,No SVM,1.5625,0,0
Kolodziejczyk,No SVM,10.0852272727273,70,28.5131548587665
Kolodziejczyk,No SVM,10.7954545454545,76,21.548395145192
Kolodziejczyk,No SVM,11.5056818181818,80.3333333333333,17.7043622998527
Kolodziejczyk,No SVM,12.2159090909091,84.6666666666667,13.8604152575279
Kolodziejczyk,No SVM,12.9261363636364,83.3333333333333,14.2400062421959
Kolodziejczyk,No SVM,13.6363636363636,89,10.0166528008778
Kolodziejczyk,No SVM,14.3465909090909,89.6666666666667,9.8375697089158
Kolodziejczyk,No SVM,2.27272727272727,0,0
Kolodziejczyk,No SVM,2.98295454545455,2.33333333333333,2.33333333333333
Kolodziejczyk,No SVM,3.69318181818182,17.3333333333333,17.3333333333333
Kolodziejczyk,No SVM,4.40340909090909,25.6666666666667,25.6666666666667
Kolodziejczyk,No SVM,5.11363636363636,32.3333333333333,20.3824543282806
Kolodziejczyk,No SVM,5.82386363636364,47,23.5442845152137
Kolodziejczyk,No SVM,6.53409090909091,56.6666666666667,29.0363756538434
Kolodziejczyk,No SVM,7.24431818181818,61.6666666666667,31.135902820449
Kolodziejczyk,No SVM,7.95454545454545,63.6666666666667,31.4183244478618
Kolodziejczyk,No SVM,8.66477272727273,64.3333333333333,30.3333333333333
Kolodziejczyk,No SVM,9.375,66,29.6141857899217
Pollen2,No SVM,0.332225913621262,14,6.46950890366073
Pollen2,No SVM,0.664451827242525,8.90909090909091,5.25262626165503
Pollen2,No SVM,0.996677740863787,10.9090909090909,6.22232716689671
Pollen2,No SVM,1.32890365448505,40.3636363636364,11.9584680740338
Pollen2,No SVM,1.66112956810631,59.6363636363636,14.6289083214601
Pollen2,No SVM,1.99335548172757,63.3636363636364,15.1473206315193
Pollen2,No SVM,2.32558139534884,63.6363636363636,15.2120004824377
