SEURAT,SC3
34,26
24,4
26,6
12,18
24,4
16,39
20,16
25,4
9,19
24,4
24,8
37,30
25,13
24,4
9,19
9,19
34,15
24,4
24,4
24,4
33,20
26,6
24,4
5,23
32,12
24,4
3,5
25,13
24,1
3,5
24,8
24,4
26,6
24,4
24,1
25,4
24,4
24,8
7,10
20,12
6,10
17,12
24,4
24,8
25,13
24,4
25,38
25,13
24,4
34,15
4,23
33,14
24,4
29,1
24,4
24,1
24,4
24,8
25,12
6,10
34,15
26,6
23,23
24,8
34,26
32,27
33,22
26,6
24,4
24,1
34,15
24,4
17,7
24,6
24,4
24,4
11,11
25,13
5,23
16,24
11,11
2,31
2,31
2,31
2,31
29,12
25,13
23,9
31,2
24,4
25,13
24,12
24,8
24,4
25,13
26,6
24,8
1,17
24,8
25,1
24,8
27,21
24,3
24,8
25,13
9,19
17,7
25,4
24,12
24,4
24,4
17,7
28,10
24,4
6,10
24,8
34,15
22,1
34,15
33,12
24,4
24,39
9,19
24,4
24,4
31,2
24,4
26,6
12,11
26,6
28,14
31,6
24,8
21,22
33,20
2,31
26,6
28,12
24,8
28,14
18,22
25,13
26,6
23,9
18,22
24,1
24,4
16,24
9,19
26,6
16,1
24,8
9,19
24,4
24,4
34,15
16,30
22,24
24,2
31,2
31,2
31,2
10,11
24,12
24,4
24,4
7,10
7,10
7,10
7,10
33,20
16,24
24,4
25,13
26,6
24,8
25,28
11,11
23,9
27,37
29,12
26,6
24,8
12,11
24,12
24,4
29,12
25,1
38,6
29,25
25,13
12,19
26,6
26,6
24,1
24,8
24,12
17,7
7,10
28,14
34,15
24,8
24,4
24,1
23,12
24,4
24,12
24,8
32,12
24,4
24,29
24,20
24,4
22,18
24,4
24,4
8,23
24,4
24,8
34,15
24,8
25,13
26,6
25,1
24,8
24,12
12,9
24,23
19,17
24,8
3,5
2,31
2,31
2,31
2,31
24,4
8,23
28,14
28,14
28,14
28,14
24,4
24,4
24,4
24,4
24,4
25,13
16,24
25,1
33,12
24,8
35,12
24,4
26,6
7,10
26,6
24,4
33,37
24,4
12,11
24,4
25,13
31,12
3,5
24,4
24,1
10,23
24,12
24,8
16,12
24,8
14,23
28,14
24,8
25,13
7,10
24,4
24,23
26,6
24,4
25,13
23,9
24,4
24,4
24,4
25,13
24,8
26,6
25,13
24,4
9,19
34,15
24,4
29,25
24,8
22,18
24,4
25,13
28,14
24,4
30,29
19,17
24,8
24,4
24,4
23,9
24,8
17,7
24,4
7,10
24,8
6,10
24,4
17,7
16,10
24,4
24,4
33,12
8,23
23,23
24,4
32,27
24,4
17,12
24,8
24,4
7,10
24,4
24,4
3,5
33,12
24,8
31,2
24,4
12,11
28,30
9,12
24,4
24,23
29,1
27,4
24,4
9,19
5,23
16,24
28,3
13,23
24,8
16,24
24,4
24,4
29,12
24,4
24,8
20,4
25,13
24,12
9,19
24,8
9,19
34,26
33,20
31,2
21,4
33,6
34,3
26,6
20,8
24,8
24,4
3,5
10,23
34,15
3,5
24,4
22,18
24,4
20,16
25,1
25,13
24,8
24,8
24,8
24,12
9,23
26,6
26,6
24,4
17,7
24,4
25,4
34,15
33,20
24,12
26,6
25,1
25,36
24,4
24,8
24,4
22,23
25,4
22,12
28,14
24,4
20,16
31,2
26,6
27,12
24,4
29,25
28,14
24,8
37,17
25,13
24,4
25,13
24,8
3,5
23,9
24,4
24,8
25,13
24,4
3,5
3,5
3,5
3,5
25,13
25,13
24,4
17,7
24,4
25,12
25,36
34,15
25,4
25,13
24,12
24,4
24,8
24,4
25,28
26,6
24,4
24,8
24,8
24,8
26,6
3,5
10,23
24,4
27,12
20,3
34,15
30,29
24,8
2,31
20,16
26,6
27,30
24,4
24,8
33,6
23,28
24,8
22,17
16,13
24,4
24,4
14,23
24,8
26,6
37,17
29,25
24,4
24,4
24,4
26,6
24,8
24,8
21,22
24,4
24,1
24,8
24,8
25,13
30,29
3,5
34,15
7,10
24,8
24,8
24,4
24,4
3,5
37,17
24,8
17,12
24,4
24,8
24,4
24,8
26,6
25,4
7,10
24,4
24,8
8,23
24,4
34,15
16,24
23,9
37,17
24,8
23,6
24,8
34,15
29,12
33,20
24,4
25,13
16,24
28,12
26,6
16,24
12,23
12,37
26,6
3,5
10,39
26,6
24,8
24,8
27,21
23,23
24,4
24,8
26,6
7,10
24,8
25,1
24,4
26,6
37,17
9,19
15,38
25,12
24,12
25,12
15,18
24,8
24,8
24,1
31,2
7,10
32,12
32,27
24,4
24,8
8,23
24,4
24,4
2,31
30,29
24,4
24,4
39,30
24,4
24,8
23,12
24,4
8,23
24,4
24,7
26,6
8,23
24,4
5,23
12,39
24,4
24,8
25,4
9,19
24,4
16,24
22,24
3,5
24,4
26,6
25,1
27,37
29,8
19,22
24,4
24,4
24,1
33,6
26,6
2,31
24,4
12,23
24,4
24,8
24,4
28,14
34,26
24,4
34,15
34,15
34,15
34,15
24,4
34,26
24,4
35,30
24,4
24,8
30,12
24,4
26,6
28,12
24,4
28,12
25,13
24,8
26,6
2,31
24,8
24,4
24,4
24,4
3,5
25,13
24,4
24,4
26,6
16,24
24,4
24,4
26,6
27,21
24,4
25,4
24,4
24,8
34,15
24,4
26,6
31,2
34,15
9,19
25,13
11,11
24,4
24,4
26,6
20,16
17,7
25,13
6,10
24,8
26,6
24,4
30,29
31,2
25,13
25,4
24,4
25,38
7,10
1,17
24,1
34,26
24,4
9,19
24,4
24,4
25,13
9,19
9,19
9,19
9,19
29,12
36,30
34,26
14,23
24,4
2,31
24,4
26,33
25,13
6,10
27,4
24,1
24,4
28,14
24,4
25,13
24,12
20,16
24,8
24,8
25,1
23,1
30,29
34,15
25,13
24,4
23,9
24,4
24,4
33,20
24,4
10,23
24,4
3,5
24,8
12,11
30,29
11,11
2,31
25,1
33,6
24,8
9,19
18,22
24,8
24,4
16,24
33,1
25,13
37,17
7,10
24,8
26,6
24,8
24,4
24,4
25,13
24,8
26,6
24,1
24,4
24,8
34,15
24,1
37,17
20,16
24,4
34,15
24,8
24,4
25,4
30,29
3,5
26,6
24,4
3,5
24,8
24,4
33,20
26,6
33,20
24,4
24,1
24,4
31,2
25,13
25,13
7,10
14,23
31,12
7,10
34,15
31,2
24,4
26,12
3,5
27,21
24,8
24,8
8,23
19,17
25,13
24,4
34,15
9,19
24,4
24,4
24,12
33,20
31,6
9,19
29,12
21,12
24,12
27,4
24,4
30,19
28,14
24,8
2,31
26,6
26,6
26,6
25,13
24,3
24,4
16,24
24,8
32,27
34,26
24,4
20,4
24,30
34,15
24,1
25,38
25,4
24,4
24,4
31,2
26,6
25,13
31,2
25,4
9,1
26,6
33,12
24,8
24,4
24,4
8,23
34,15
24,4
24,4
24,4
24,4
26,6
34,15
24,4
33,2
20,8
20,8
35,30
26,6
30,29
24,4
24,4
21,22
7,10
34,26
25,13
24,4
2,31
33,30
24,4
7,10
21,22
24,4
24,4
24,8
24,4
1,17
1,17
1,17
1,17
1,17
16,24
22,18
24,1
26,37
24,4
33,20
2,31
3,5
27,6
24,4
4,23
24,8
24,4
24,4
24,4
17,7
30,34
14,23
24,8
12,11
27,12
24,8
33,20
24,8
25,13
34,26
24,4
24,4
28,14
24,4
6,10
24,4
24,4
24,4
24,8
33,4
26,6
33,20
26,6
24,8
24,4
19,22
23,12
14,23
24,8
7,10
24,8
26,6
24,8
33,12
25,13
25,13
33,20
24,8
35,30
24,4
30,12
34,26
25,13
24,8
10,11
24,4
2,31
25,13
20,16
10,23
24,4
24,8
26,6
21,22
24,4
32,37
26,6
20,16
25,13
33,20
24,8
7,10
1,17
1,17
1,17
8,23
31,2
16,24
20,16
28,2
24,4
1,17
12,23
24,4
24,30
8,23
24,8
8,23
24,4
29,25
24,4
25,13
17,7
25,13
25,13
24,4
24,8
24,8
26,6
16,13
20,16
26,6
25,13
24,4
29,8
24,1
24,4
26,6
24,1
26,6
24,4
24,12
26,6
26,6
24,4
24,6
21,20
1,17
24,8
22,30
24,4
22,18
24,4
25,13
31,2
23,39
28,14
25,30
27,2
26,6
24,18
31,2
30,29
24,4
25,1
34,15
24,4
25,4
24,12
24,4
26,6
24,4
24,8
12,9
24,12
33,20
24,4
24,4
24,8
24,4
25,1
24,8
26,6
34,15
24,4
28,2
25,13
24,4
7,10
24,4
26,6
24,4
24,4
9,19
25,13
33,20
23,9
24,4
26,6
26,6
25,13
24,4
34,15
25,13
34,15
4,23
17,7
24,4
3,5
34,15
24,4
11,11
12,11
24,4
24,4
24,8
25,4
24,8
31,29
24,4
31,30
24,4
25,1
15,18
15,4
15,18
24,8
24,4
24,4
24,8
24,4
3,5
33,12
24,4
24,4
24,8
26,6
26,6
25,13
25,12
24,4
24,8
34,26
24,4
37,17
34,15
6,10
24,1
25,13
6,10
22,17
24,4
7,12
24,8
