,x
CC97.SLX.8969.N701_N501.bam,319
CC97.SLX.8969.N701_N502.bam,1082
CC97.SLX.8969.N701_N503.bam,1206
CC97.SLX.8969.N701_N504.bam,972
CC97.SLX.8969.N701_N505.bam,1180
CC97.SLX.8969.N701_N506.bam,1351
CC97.SLX.8969.N701_N507.bam,1264
CC97.SLX.8969.N701_N508.bam,1244
CC97.SLX.8969.N702_N501.bam,790
CC97.SLX.8969.N702_N502.bam,1382
CC97.SLX.8969.N702_N503.bam,1270
CC97.SLX.8969.N702_N504.bam,1308
CC97.SLX.8969.N702_N505.bam,1494
CC97.SLX.8969.N702_N506.bam,1499
CC97.SLX.8969.N702_N507.bam,1395
CC97.SLX.8969.N702_N508.bam,1234
CC97.SLX.8969.N703_N501.bam,1185
CC97.SLX.8969.N703_N502.bam,1412
CC97.SLX.8969.N703_N503.bam,1381
CC97.SLX.8969.N703_N504.bam,1065
CC97.SLX.8969.N703_N505.bam,1467
CC97.SLX.8969.N703_N506.bam,1552
CC97.SLX.8969.N703_N507.bam,1516
CC97.SLX.8969.N703_N508.bam,1499
CC97.SLX.8969.N704_N501.bam,784
CC97.SLX.8969.N704_N502.bam,1315
CC97.SLX.8969.N704_N503.bam,1230
CC97.SLX.8969.N704_N504.bam,1255
CC97.SLX.8969.N704_N505.bam,1339
CC97.SLX.8969.N704_N506.bam,1232
CC97.SLX.8969.N704_N507.bam,1322
CC97.SLX.8969.N704_N508.bam,1417
CC97.SLX.8969.N705_N501.bam,1439
CC97.SLX.8969.N705_N502.bam,1215
CC97.SLX.8969.N705_N503.bam,1132
CC97.SLX.8969.N705_N504.bam,982
CC97.SLX.8969.N705_N505.bam,1382
CC97.SLX.8969.N705_N506.bam,1455
CC97.SLX.8969.N705_N507.bam,1344
CC97.SLX.8969.N705_N508.bam,1474
CC97.SLX.8969.N706_N501.bam,1188
CC97.SLX.8969.N706_N502.bam,1223
CC97.SLX.8969.N706_N503.bam,1887
CC97.SLX.8969.N706_N504.bam,1153
CC97.SLX.8969.N706_N505.bam,1274
CC97.SLX.8969.N706_N506.bam,1218
CC97.SLX.8969.N706_N507.bam,1406
CC97.SLX.8969.N706_N508.bam,1203
CC97.SLX.8969.N707_N501.bam,1276
CC97.SLX.8969.N707_N502.bam,1253
CC97.SLX.8969.N707_N503.bam,1408
CC97.SLX.8969.N707_N504.bam,1271
CC97.SLX.8969.N707_N505.bam,1710
CC97.SLX.8969.N707_N506.bam,1305
CC97.SLX.8969.N707_N507.bam,1268
CC97.SLX.8969.N707_N508.bam,1536
CC97.SLX.8969.N708_N501.bam,1031
CC97.SLX.8969.N708_N502.bam,1413
CC97.SLX.8969.N708_N503.bam,1387
CC97.SLX.8969.N708_N504.bam,1278
CC97.SLX.8969.N708_N505.bam,1577
CC97.SLX.8969.N708_N506.bam,1238
CC97.SLX.8969.N708_N507.bam,1515
CC97.SLX.8969.N708_N508.bam,1420
CC97.SLX.8969.N709_N501.bam,1291
CC97.SLX.8969.N709_N502.bam,1417
CC97.SLX.8969.N709_N503.bam,1076
CC97.SLX.8969.N709_N504.bam,1375
CC97.SLX.8969.N709_N505.bam,1187
CC97.SLX.8969.N709_N506.bam,1280
CC97.SLX.8969.N709_N507.bam,1235
CC97.SLX.8969.N709_N508.bam,1103
CC97.SLX.8969.N710_N501.bam,1607
CC97.SLX.8969.N710_N502.bam,1367
CC97.SLX.8969.N710_N503.bam,1357
CC97.SLX.8969.N710_N504.bam,1204
CC97.SLX.8969.N710_N505.bam,1554
CC97.SLX.8969.N710_N506.bam,1477
CC97.SLX.8969.N710_N507.bam,1210
CC97.SLX.8969.N710_N508.bam,1466
CC97.SLX.8969.N711_N501.bam,1022
CC97.SLX.8969.N711_N502.bam,1230
CC97.SLX.8969.N711_N503.bam,1315
CC97.SLX.8969.N711_N504.bam,1087
CC97.SLX.8969.N711_N505.bam,1262
CC97.SLX.8969.N711_N506.bam,1471
CC97.SLX.8969.N711_N507.bam,1408
CC97.SLX.8969.N711_N508.bam,1127
CC97.SLX.8969.N712_N501.bam,751
CC97.SLX.8969.N712_N502.bam,1085
CC97.SLX.8969.N712_N503.bam,1080
CC97.SLX.8969.N712_N504.bam,1209
CC97.SLX.8969.N712_N505.bam,1325
CC97.SLX.8969.N712_N506.bam,1417
CC97.SLX.8969.N712_N507.bam,1228
CC97.SLX.8969.N712_N508.bam,820
